subset_name,avg_target_token_repetition_rate,p50_target_token_repetition_rate,p90_target_token_repetition_rate,p99_target_token_repetition_rate,p25_target_token_repetition_rate,p10_target_token_repetition_rate,p5_target_token_repetition_rate
aya_dataset_train_sample,0.9007399184371306,0.9583333333333334,1.0,1.0,0.8471316818774446,0.6842105263157895,0.5966331868973186
templated_afriqa_train_sample,0.9681454763176991,1.0,1.0,1.0,0.9442724458204335,0.893609022556391,0.8733695652173913
templated_afrisenti_train_sample,0.879127935903871,0.9,0.9514285714285714,0.9750243902439024,0.8454907161803713,0.7830357142857143,0.75
templated_amharic_qa_train_sample,0.5377771779592578,0.5333333333333333,0.6433817427385893,0.7601341120484534,0.4830315350674154,0.44792871533241785,0.38685674752997734
templated_armenian_instruct_train_sample,0.9314843381268929,0.9354838709677419,1.0,1.0,0.8911067193675889,0.8655855855855856,0.8582761250953471
templated_bengali_news_train_sample,0.9162463943798189,0.9183673469387755,1.0,1.0,0.8920997920997922,0.8468965517241379,0.8241578947368421
templated_dutch_imdb_train_sample,0.6095062082014641,0.6202090592334495,0.7200486295313882,0.765503003003003,0.5522562151955888,0.4687221311112096,0.4441025786614022
templated_hindi_headline_train_sample,0.9601862537642497,0.9629629629629629,1.0,1.0,0.9393382352941176,0.9133333333333333,0.8869281045751634
templated_hindi_news_train_sample,0.31935864106843,0.28230337078651685,0.5271540301208714,0.6187302215189873,0.2037622286582202,0.1286771234092927,0.10461914569829409
templated_indic_paraphrase_train_sample,0.9430045346346243,0.9512195121951219,1.0,1.0,0.9143433602347762,0.8812467532467533,0.8616883116883117
templated_indic_sentiment_train_sample,0.9088702685192872,0.918918918918919,1.0,1.0,0.8661691542288557,0.8175953079178886,0.8084841628959276
templated_indo_stories_train_sample,0.7842473074098546,0.7976190476190477,0.8981047937569677,0.9353611111111111,0.7256578947368422,0.6301800910350287,0.5862188648427931
templated_japanese_instruct_train_sample,0.9000744364093564,0.9230769230769231,1.0,1.0,0.8525925925925926,0.798125,0.7629056603773585
templated_joke_explaination_train_sample,0.8605779865929363,0.8648648648648649,0.90625,0.92,0.8429276315789473,0.8059139784946237,0.793813387423935
templated_ligurian_news_train_sample,0.6219984920906179,0.6360424028268551,0.716529173541323,0.7443173032317922,0.5576657665766577,0.5256899607954766,0.5089500907195278
templated_masakhanews_train_sample,0.7239573036317567,0.8518518518518519,1.0,1.0,0.47531613146755103,0.4018253470667264,0.34087692388714075
templated_mintaka_train_sample,0.965959653384321,1.0,1.0,1.0,0.9254629629629629,0.9025,0.881283422459893
templated_ntx_llm_train_sample,0.5179066590841941,0.5213675213675214,0.5622256553618284,0.6161137440758294,0.4879215777803711,0.4648542024013722,0.46023319275613994
templated_nusax_senti_train_sample,0.8728408022603666,0.8732394366197183,0.97595818815331,1.0,0.8196172248803828,0.7676116838487972,0.7307802433786686
templated_persian_farstail_train_sample,0.8273463419611153,0.8227848101265823,0.9207142857142858,0.9713109243697479,0.7692307692307693,0.7364950838635049,0.7180076628352491
templated_persian_instruct_train_sample,0.5148525271023208,0.510989010989011,0.6307146855756671,0.6912244180939833,0.4626053010067803,0.39761354719918474,0.3529859079728936
templated_scirepeval_val_sample,0.6666068459277948,0.5871212121212122,0.9650246305418719,1.0,0.5247360059807494,0.4680150450642254,0.4339867440474733
templated_seed_instruct_train_sample,0.8608573174186139,0.8709677419354839,0.9723552123552124,1.0,0.8053997194950911,0.7445374952417205,0.726176051318603
templated_soda_train_sample,0.7520849853393204,0.8,0.9593333333333334,1.0,0.5556816699282452,0.5060672107050534,0.4701709401709402
templated_tamil_stories_train_sample,0.6135422484514645,0.6764705882352942,0.8307692307692308,0.8855255255255254,0.45586382226152317,0.3277865001070037,0.2566164717939153
templated_tamil_thirukkural_train_sample,0.9198574642009208,0.9183673469387755,1.0,1.0,0.8846153846153846,0.8451282051282051,0.8232323232323232
templated_telugu_food_train_sample,0.9792250025309076,1.0,1.0,1.0,0.9642857142857143,0.9319540229885057,0.920066889632107
templated_telugu_jokes_train_sample,0.9137414536517176,0.9090909090909091,0.9366935483870967,1.0,0.896551724137931,0.875,0.859920634920635
templated_telugu_news_train_sample,0.8159532595978172,0.8348623853211009,1.0,1.0,0.6656523855890945,0.5754813863928113,0.5496397527076652
templated_telugu_poems_train_sample,0.7433029830370528,0.7419354838709677,0.878246539222149,0.9355722639933166,0.6881944444444444,0.622763263750688,0.5846042120551925
templated_telugu_riddles_train_sample,0.899916587807509,0.9117647058823529,1.0,1.0,0.8509259259259259,0.8025806451612904,0.7140395124001682
templated_thai_pos_train_sample,0.6438553548396103,0.6388888888888888,0.8095238095238095,0.9444444444444444,0.5147186147186147,0.4530364372469636,0.39875
templated_thai_scb_train_sample,0.9132794548307964,0.9565217391304348,1.0,1.0,0.8582589285714286,0.7519489338584816,0.7023266022827042
templated_thai_usembassy_train_sample,0.5796940741360475,0.5931372549019608,0.7041071428571429,0.8044417767106843,0.49240935254553114,0.4382471163559361,0.40041085840058693
templated_thai_wikitionary_train_sample,0.9536298207334013,0.9285714285714286,1.0,1.0,0.9166666666666666,0.9166666666666666,0.9090909090909091
templated_turku_paraphrase_train_sample,0.9756298637688737,1.0,1.0,1.0,0.957427536231884,0.9331395348837209,0.9116666666666666
templated_ukranian_gec_train_sample,0.9352626595675039,0.96,1.0,1.0,0.9110671936758893,0.8317801672640383,0.7430921052631579
templated_uner_llm_train_sample,0.6367612726315196,0.6582914572864321,0.6897781031763911,0.7092170999927172,0.5936689930209371,0.5776683856852634,0.5370064997592682
